Com,4
Node,573
SN,2428-0573
Firmware,8.00
Num Channels,4
Sample Rate,1 sample per 10 sec
Date (GMT),13/05/2014 07:56:50
Time (GMT),07:56:46:261


Calibration Coefficients
Channel,1,Slope,0.200373,Offset,-478.49,Units,µStrain
Channel,2,Slope,0.198525,Offset,-465.343,Units,µStrain
Channel,3,Slope,0.199383,Offset,-413.72,Units,µStrain
Channel,8,Slope,0.117188,Offset,-67.84,Units,°C

Timestamp (GMT),Timer Tick,Channel 1,Channel 2,Channel 3,Channel 8,Node RSSI (dBm),Base RSSI (dBm)
13/05/2014 08:36:10.101750000,236,-231.2297211,-17.27206993,48.25042343,25.32446289,-26,-69
13/05/2014 08:36:20.101750000,237,-230.8289642,-18.46321869,48.25042343,25.20727539,-26,-69
13/05/2014 08:36:30.101750000,238,-230.8289642,-18.26469421,47.65227509,25.32446289,-26,-69
13/05/2014 08:36:40.101750000,239,-230.4282227,-17.86764526,48.25042343,25.32446289,-26,-69
13/05/2014 08:36:50.101750000,240,-231.4300842,-19.05879402,48.25042343,25.32446289,-26,-69
13/05/2014 08:37:00.101750000,241,-231.2297211,-19.05879402,48.649189,25.32446289,-26,-69
13/05/2014 08:37:10.101750000,242,-231.4300842,-18.86026955,49.04795456,25.32446289,-26,-69
13/05/2014 08:37:20.101750000,243,-230.8289642,-18.26469421,48.84857178,25.32446289,-26,-69
13/05/2014 08:37:30.101750000,244,-231.6304626,-19.2573204,48.44980621,25.32446289,-26,-69
13/05/2014 08:37:40.101750000,245,-231.0293427,-18.66174507,47.85165787,25.32446289,-26,-69
13/05/2014 08:37:50.101750000,246,-231.4300842,-18.86026955,48.25042343,25.32446289,-26,-69
